state;city;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Western Australia;Western Australia - Wheat Belt;51;70;74;80;82;78;89;83;69;65;98;79;82;87;81;67;76
Western Australia;Perth - North East;175;297;307;333;305;306;339;300;268;207;167;167;165;247;253;257;246
Western Australia;Perth - South East;1128;1107;1010;1251;1230;1129;1151;1092;1043;1058;844;750;724;761;715;822;772
Western Australia;Perth - South West;636;782;793;870;907;915;895;850;836;772;700;669;618;710;700;661;685
Western Australia;Mandurah;25;33;42;49;57;63;55;44;40;36;43;40;30;33;37;34;31
Western Australia;Bunbury;250;380;356;371;382;369;347;338;305;336;322;403;378;410;355;464;387
Western Australia;Western Australia - Outback (South);198;264;196;199;215;195;199;186;176;242;353;330;310;135;112;108;140
Western Australia;Western Australia - Outback (North);227;246;208;199;185;174;180;201;233;238;228;188;204;229;200;209;197
Western Australia;Other Territories WA;22;31;33;39;49;54;57;59;105;125;135;117;76;87;85;72;48
Tasmania;Hobart;2557;2505;2575;2858;3012;3322;3468;3491;3489;3350;3650;3404;3315;3308;3168;3128;3076
Tasmania;South East;186;171;135;110;96;89;78;64;46;36;29;24;7;47;45;50;49
Tasmania;Launceston and North East;253;299;295;325;357;380;363;354;337;319;327;327;294;330;316;296;273
Tasmania;West and North West;174;210;220;252;255;706;259;255;260;251;234;216;198;234;223;217;228
Northern Territory;Darwin;1698;1695;1707;1879;2031;2361;2329;2350;2330;2238;2120;1806;1633;1478;1376;1284;1215
Northern Territory;Northern Territory - Outback;509;482;352;350;362;510;473;509;448;445;491;483;561;720;749;730;712
Overseas;Overseas;930;911;910;994;1094;1171;1307;1458;1511;1261;1347;1340;1388;1426;1479;1472;1415
All;;131632;131293;133385;145958;155089;159297;161274;163789;165471;167338;166145;157939;152240;155603;151954;150395;147237
